"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Early-demographic dividend","EAR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","37.15837","37.50685","38.22058","38.97362","39.67763","39.78491","40.9056","41.9368","42.72413","43.74433","44.53637","45.35852","46.33725","46.73191","47.5504","48.66498","49.37671","50.37921","51.17374","52.15899","53.14869","54.06229","54.87278","57.75888","58.56701","59.42136","60.07392","60.74673","61.79616","62.73356","61.55181","63.23373","63.99487","65.01609","66.13377","68.19773","68.11016","69.73566","70.3697","71.35424","71.95249","72.66565","","",
"East Asia & Pacific","EAS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","57.18199","57.30501","58.4676","59.7105","60.26603","62.05486","62.79792","64.39632","65.54254","66.64788","67.646","68.9246","73.98181","74.81887","74.78902","76.25258","76.85755","77.4434","78.07883","78.7219","79.3514","86.44493","86.90949","87.32658","87.8352","88.2418","88.70897","89.19516","89.82968","90.26026","90.77855","92.16631","92.48502","92.90348","93.03505","92.93043","93.20601","93.31953","93.78897","93.93781","94.11435","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","91.40444","92.28243","92.47022","92.62174","92.80457","93.01943","93.12289","93.3708","93.53148","93.71966","93.90243","94.08289","94.27049","94.54594","94.71989","95.24471","95.34541","95.36213","95.4684","95.59394","95.70462","95.88552","96.13496","96.089","96.23935","96.31326","97.13373","97.56464","97.93379","98.12746","98.19782","98.23736","98.27967","98.4013","","",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.11801","95.4031","95.4783","95.64146","95.74417","95.8563","95.96801","96.07785","96.22267","96.40525","96.53779","96.84307","96.94191","97.00127","97.10077","97.19226","97.29033","97.39579","97.49974","97.52808","97.59401","97.63706","97.98981","98.19816","98.43038","98.53956","98.59316","98.62377","98.6567","98.72943","","",
"Ecuador","ECU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","80.40523","","","","","","","","86.19333","","","","","","","","","","","89.69709","","","","","","90.86557","91.12257","90.91755","90.47011","90.22082","90.95168","92.21808","93.25386","93.25662","93.31453","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","22.43801","","","","","","","","","","31.39267","","","","","","","","","","43.59531","","","","","","","","","30.79796","57.81191","","","","63.51581","","65.75666","67.17986","","","","74.98817","",
"Euro area","EMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.59552","96.6785","96.76738","96.85051","96.92639","97.00854","97.08805","97.22358","97.36109","97.48203","97.64145","97.75866","97.87134","97.98294","98.0553","98.1602","98.20073","98.18045","98.30716","98.30109","98.31783","98.27938","98.31902","98.4948","98.5532","98.61003","98.6427","98.67655","98.72308","","",
"Eritrea","ERI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.22442","","","","","","54.80107","","","","","","","","","","",
"Spain","ESP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","89.93692","","","","","","","","","","95.051","","","","","","","","","","","","","96.23088","96.92515","","97.2603199999999","96.88684","96.92597","97.0044999999999","97.0655699999999","97.21804","97.44054","97.48735","97.54713","97.6953599999999","","",
"Estonia","EST","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.60148","","","","","","","","","","","99.76006","","","","","","","","","","","99.90948","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.51498","","","","","","","","","","22.8","17.9772","","28.92164","","","","","","","","","","","",
"European Union","EUU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.09228","97.16578","97.24331","97.31157","","97.44073","97.50603","97.62325","97.73967","97.84687","97.98336","98.0603","98.16005","98.25794","98.33067","98.41998","98.46919","98.46375","98.55456","98.55746","98.57918","98.60845","98.63986","98.76105","98.80419","98.84626","98.87213","98.89868","98.93313","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.20385","45.75864","45.91123","46.38603","46.7991","47.30694","47.52785","48.58408","49.33972","49.94466","50.83748","51.70044","52.38412","53.58184","54.30105","54.59793","55.04552","55.51885","55.80438","53.83524","54.06811","53.81269","51.95911","52.42944","51.87321","52.35852","52.18612","53.17359","53.71909","54.28537","","",
"Finland","FIN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.32631","","","","","","","","","","","","","","","","","","","79.87897","","","","","","",
