"","country.code","country","country.x","country.y","year","happiness"
"140","ROU","Romania","Romania","Romania",2015,5.7774911
"141","RUS","Russian Federation","Russian Federation","Russia",2015,5.9955387
"142","RWA","Rwanda","Rwanda","Rwanda",2015,3.483109
"143","SAU","Saudi Arabia","Saudi Arabia","Saudi Arabia",2015,6.3454919
"144","SDN","Sudan",NA,NA,NA,NA
"145","SEN","Senegal","Senegal","Senegal",2015,4.6170006
"146","SGP","Singapore","Singapore","Singapore",2015,6.619525
"147","SLB","Solomon Islands",NA,NA,NA,NA
"148","SLE","Sierra Leone","Sierra Leone","Sierra Leone",2015,4.908618
"149","SLV","El Salvador","El Salvador","El Salvador",2015,6.018496
"150","SOM","Somalia","Somalia","Somalia",2015,5.3536448
"151","SRB","Serbia and Kosovo (S/RES/1244 (1999))","Serbia and Kosovo (S/RES/1244 (1999))","Serbia",2015,5.3176851
"152","SSD","South Sudan","South Sudan","South Sudan",2015,4.0707712
"153","SUR","Suriname",NA,NA,NA,NA
"154","SVK","Slovakia","Slovakia","Slovakia",2015,6.1620045
"155","SVN","Slovenia","Slovenia","Slovenia",2015,5.7406421
"156","SWE","Sweden","Sweden","Sweden",2015,7.2889223
"157","SWZ","Swaziland",NA,NA,NA,NA
"158","SXM","Sint Maarten (Dutch part)",NA,NA,NA,NA
"159","SYR","Syrian Arab Rep.","Syrian Arab Rep.","Syria",2015,3.4619129
"160","TCA","Turks and Caicos Islands",NA,NA,NA,NA
"161","TCD","Chad","Chad","Chad",2015,4.3226752
"162","TGO","Togo","Togo","Togo",2015,3.768302
"163","THA","Thailand","Thailand","Thailand",2015,6.2017627
"164","TJK","Tajikistan","Tajikistan","Tajikistan",2015,5.1242108
"165","TKM","Turkmenistan","Turkmenistan","Turkmenistan",2015,5.79146
"166","TMP","Timor-Leste",NA,NA,NA,NA
"167","TTO","Trinidad and Tobago",NA,NA,NA,NA
"168","TUN","Tunisia","Tunisia","Tunisia",2015,5.1316118
"169","TUR","Turkey","Turkey","Turkey",2015,5.5144653
"170","TZA","United Rep. of Tanzania","United Rep. of Tanzania","Tanzania",2015,3.6605973
"171","UAE","United Arab Emirates",NA,NA,NA,NA
"172","UGA","Uganda","Uganda","Uganda",2015,4.2376866
"173","UKR","Ukraine","Ukraine","Ukraine",2015,3.9645429
"174","URY","Uruguay","Uruguay","Uruguay",2015,6.6280804
"175","USA","United States of America","United States of America","United States",2015,6.8639469
"176","UZB","Uzbekistan","Uzbekistan","Uzbekistan",2015,5.9723644
"177","VEN","Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)","Venezuela",2015,5.5688004
"178","VNM","Viet Nam","Viet Nam","Vietnam",2015,5.0763154
"179","VUT","Vanuatu",NA,NA,NA,NA
"180","WSM","Samoa",NA,NA,NA,NA
"181","YEM","Yemen","Yemen","Yemen",2015,2.9826739
"182","ZAF","South Africa","South Africa","South Africa",2015,4.8873258
"183","ZMB","Zambia","Zambia","Zambia",2015,4.8431644
"184","ZWE","Zimbabwe","Zimbabwe","Zimbabwe",2015,3.7031913
