"","country.code","country.x","refugees","country.y","population","pop.million","country","refugees.per.million.pop"
"107","MMR","Myanmar",0,"Myanmar",52403669,52.403669,"Myanmar",0
"108","MNE","Montenegro",1771,"Montenegro",622159,0.622159,"Montenegro",2847
"109","MNG","Mongolia",9,"Mongolia",2976877,2.976877,"Mongolia",3
"110","MOZ","Mozambique",5622,"Mozambique",28010691,28.010691,"Mozambique",201
"111","MRT","Mauritania",77394,"Mauritania",4182341,4.182341,"Mauritania",18505
"112","MWI","Malawi",9019,"Malawi",17573607,17.573607,"Malawi",513
"113","MYS","Malaysia",94166,"Malaysia",30723155,30.723155,"Malaysia",3065
"114","NAM","Namibia",1737,"Namibia",2425561,2.425561,"Namibia",716
"115","NER","Niger",124721,"Niger",19896965,19.896965,"Niger",6268
"116","NGA","Nigeria",1395,"Nigeria",181181744,181.181744,"Nigeria",8
"117","NIC","Nicaragua",330,"Nicaragua",6082035,6.082035,"Nicaragua",54
"118","NLD","Netherlands",88536,"Netherlands",16939923,16.939923,"Netherlands",5226
"119","NOR","Norway",50389,"Norway",5190239,5.190239,"Norway",9708
"120","NPL","Nepal",32667,"Nepal",28656282,28.656282,"Nepal",1140
"121","NRU","Nauru",506,"Nauru",12475,0.012475,"Nauru",40561
"122","NZL","New Zealand",1337,"New Zealand",4595700,4.5957,"New Zealand",291
"123","OMN","Oman",245,"Oman",4199810,4.19981,"Oman",58
"124","PAK","Pakistan",1561162,"Pakistan",189380513,189.380513,"Pakistan",8244
"125","PAN","Panama",17322,"Panama",3969249,3.969249,"Panama",4364
"126","PER","Peru",1488,"Peru",31376671,31.376671,"Peru",47
"127","PHL","Philippines",269,"Philippines",101716359,101.716359,"Philippines",3
"128","PNG","Papua New Guinea",9510,"Papua New Guinea",7919825,7.919825,"Papua New Guinea",1201
"129","POL","Poland",14065,"Poland",37986412,37.986412,"Poland",370
"130","PRK","Dem. People's Rep. of Korea",0,"Korea, Dem. People’s Rep.",25243917,25.243917,"Dem. People's Rep. of Korea",0
"131","PRY","Paraguay",172,"Paraguay",6639119,6.639119,"Paraguay",26
"132","QAT","Qatar",120,"Qatar",2481539,2.481539,"Qatar",48
"133","ROU","Romania",2598,"Romania",19815481,19.815481,"Romania",131
"134","RUS","Russian Federation",314507,"Russian Federation",144096870,144.09687,"Russian Federation",2183
"135","RWA","Rwanda",144737,"Rwanda",11629553,11.629553,"Rwanda",12446
"136","SAU","Saudi Arabia",125,"Saudi Arabia",31557144,31.557144,"Saudi Arabia",4
"137","SDN","Sudan",309639,"Sudan",38647803,38.647803,"Sudan",8012
"138","SEN","Senegal",14392,"Senegal",14976994,14.976994,"Senegal",961
"139","SGP","Singapore",0,"Singapore",5535002,5.535002,"Singapore",0
"140","SLB","Solomon Islands",3,"Solomon Islands",587482,0.587482,"Solomon Islands",5
"141","SLE","Sierra Leone",760,"Sierra Leone",7237025,7.237025,"Sierra Leone",105
"142","SLV","El Salvador",48,"El Salvador",6312478,6.312478,"El Salvador",8
"143","SOM","Somalia",8081,"Somalia",13908129,13.908129,"Somalia",581
"144","SRB","Serbia and Kosovo (S/RES/1244 (1999))",35332,"Serbia",7095383,7.095383,"Serbia and Kosovo (S/RES/1244 (1999))",4980
"145","SSD","South Sudan",263016,"South Sudan",11882136,11.882136,"South Sudan",22135
"146","SUR","Suriname",1,"Suriname",553208,0.553208,"Suriname",2
"147","SVK","Slovakia",820,"Slovak Republic",5423801,5.423801,"Slovakia",151
"148","SVN","Slovenia",292,"Slovenia",2063531,2.063531,"Slovenia",142
"149","SWE","Sweden",169520,"Sweden",9799186,9.799186,"Sweden",17299
"150","SWZ","Swaziland",696,"Eswatini",1319011,1.319011,"Swaziland",528
"151","SXM","Sint Maarten (Dutch part)",3,"Sint Maarten (Dutch part)",38824,0.038824,"Sint Maarten (Dutch part)",77
"152","SYR","Syrian Arab Rep.",21113,"Syrian Arab Republic",18734987,18.734987,"Syrian Arab Rep.",1127
"153","TCA","Turks and Caicos Islands",4,"Turks and Caicos Islands",34339,0.034339,"Turks and Caicos Islands",116
"154","TCD","Chad",369540,"Chad",14009413,14.009413,"Chad",26378
"155","TGO","Togo",21953,"Togo",7416802,7.416802,"Togo",2960
"156","THA","Thailand",108261,"Thailand",68657600,68.6576,"Thailand",1577
"157","TJK","Tajikistan",1969,"Tajikistan",8548651,8.548651,"Tajikistan",230
"158","TKM","Turkmenistan",26,"Turkmenistan",5565284,5.565284,"Turkmenistan",5
"159","TTO","Trinidad and Tobago",113,"Trinidad and Tobago",1360092,1.360092,"Trinidad and Tobago",83
"160","TUN","Tunisia",665,"Tunisia",11273661,11.273661,"Tunisia",59
"161","TUR","Turkey",2541352,"Turkey",78271472,78.271472,"Turkey",32468
