"","country.code","country.x","refugees","country.y","population","pop.million","refugees.per.million.pop","country"
"101","MDA","Rep. of Moldova",446,"Moldova",3554108,3.554108,125,"Rep. of Moldova"
"102","MDG","Madagascar",10,"Madagascar",24234088,24.234088,0,"Madagascar"
"103","MEX","Mexico",2923,"Mexico",125890949,125.890949,23,"Mexico"
"104","MKD","The former Yugoslav Republic of Macedonia",701,"Macedonia, FYR",2079308,2.079308,337,"The former Yugoslav Republic of Macedonia"
"105","MLI","Mali",15917,"Mali",17467905,17.467905,911,"Mali"
"106","MLT","Malta",7075,"Malta",445053,0.445053,15897,"Malta"
"107","MMR","Myanmar",0,"Myanmar",52403669,52.403669,0,"Myanmar"
"108","MNE","Montenegro",1771,"Montenegro",622159,0.622159,2847,"Montenegro"
"109","MNG","Mongolia",9,"Mongolia",2976877,2.976877,3,"Mongolia"
"110","MOZ","Mozambique",5622,"Mozambique",28010691,28.010691,201,"Mozambique"
"111","MRT","Mauritania",77394,"Mauritania",4182341,4.182341,18505,"Mauritania"
"112","MWI","Malawi",9019,"Malawi",17573607,17.573607,513,"Malawi"
"113","MYS","Malaysia",94166,"Malaysia",30723155,30.723155,3065,"Malaysia"
"114","NAM","Namibia",1737,"Namibia",2425561,2.425561,716,"Namibia"
"115","NER","Niger",124721,"Niger",19896965,19.896965,6268,"Niger"
"116","NGA","Nigeria",1395,"Nigeria",181181744,181.181744,8,"Nigeria"
"117","NIC","Nicaragua",330,"Nicaragua",6082035,6.082035,54,"Nicaragua"
"118","NLD","Netherlands",88536,"Netherlands",16939923,16.939923,5226,"Netherlands"
"119","NOR","Norway",50389,"Norway",5190239,5.190239,9708,"Norway"
"120","NPL","Nepal",32667,"Nepal",28656282,28.656282,1140,"Nepal"
"121","NRU","Nauru",506,"Nauru",12475,0.012475,40561,"Nauru"
"122","NZL","New Zealand",1337,"New Zealand",4595700,4.5957,291,"New Zealand"
"123","OMN","Oman",245,"Oman",4199810,4.19981,58,"Oman"
"124","PAK","Pakistan",1561162,"Pakistan",189380513,189.380513,8244,"Pakistan"
"125","PAN","Panama",17322,"Panama",3969249,3.969249,4364,"Panama"
"126","PER","Peru",1488,"Peru",31376671,31.376671,47,"Peru"
"127","PHL","Philippines",269,"Philippines",101716359,101.716359,3,"Philippines"
