,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,asylum_seekers_pct_pop_resid,country
113,113,113,113,116,159.0,NZL,New Zealand,0.003459755858737516,New Zealand,-0.02405908491443505,New Zealand
114,114,114,114,117,131.0,NIC,Nicaragua,0.0021538843495639212,Nicaragua,-0.004082112209887389,Nicaragua
115,115,115,115,118,106.0,NER,Niger,0.0005327445668221257,Niger,-0.005336625721749199,Niger
116,116,116,116,119,386.0,NGA,Nigeria,0.0002130457470372953,Nigeria,-0.006092140773487284,Nigeria
117,117,117,117,120,25316.0,NOR,Norway,0.4877617389102891,Norway,0.4551902018818181,Norway
118,118,118,118,121,190.0,OMN,Oman,0.004524014181593929,Oman,-0.028194662100867,Oman
119,119,119,119,122,6442.0,PAK,Pakistan,0.003401617145265627,Pakistan,-0.0028089697999816466,Pakistan
120,120,120,120,123,2934.0,PAN,Panama,0.07391826514285196,Panama,0.06762884019275943,Panama
121,121,121,121,124,445.0,PNG,Papua New Guinea,0.005618811021708182,Papua New Guinea,-0.0005073066075466821,Papua New Guinea
122,122,122,122,125,37.0,PRY,Paraguay,0.0005573028590088534,Paraguay,-0.006091198868417033,Paraguay
123,123,123,123,126,379.0,PER,Peru,0.0012079037957850914,Peru,-0.005382354539647618,Peru
124,124,124,124,127,210.0,PHL,Philippines,0.00020645646586700965,Philippines,-0.006200844761914162,Philippines
125,125,125,125,128,3303.0,POL,Poland,0.008695214488801943,Poland,-0.0017391846300184328,Poland
126,126,126,126,129,580.0,PRT,Portugal,0.005599495504763626,Portugal,-0.01002742016246539,Portugal
127,127,127,127,130,118.0,QAT,Qatar,0.004755113661320656,Qatar,0.0005689717231560452,Qatar
128,128,128,128,131,5442.0,KOR,"Korea, Rep.",0.010667461832313577,"Korea, Rep.",-0.01343832196242485,"Korea, Rep."
129,129,129,129,132,110.0,MDA,Moldova,0.0030950100559690363,Moldova,-0.003120555968219126,Moldova
130,130,130,130,133,432.0,ROU,Romania,0.0021801136192454787,Romania,-0.003970946445249785,Romania
131,131,131,131,134,2088.0,RUS,Russian Federation,0.0014490252286534745,Russian Federation,-0.0065840870766979715,Russian Federation
132,132,132,132,135,414.0,RWA,Rwanda,0.0035598960682323728,Rwanda,-0.0023778814016955164,Rwanda
133,133,133,133,136,1.0,LCA,St. Lucia,0.0005643149780481474,St. Lucia,-0.006003724255596864,St. Lucia
134,134,134,134,137,3.0,WSM,Samoa,0.0015483151750370304,Samoa,-0.004745260286917089,Samoa
135,135,135,135,138,32.0,SAU,Saudi Arabia,0.0001014033462597249,Saudi Arabia,-0.03409239042974015,Saudi Arabia
136,136,136,136,139,3119.0,SEN,Senegal,0.020825273749859284,Senegal,0.01478338960979235,Senegal
137,137,137,137,140,116.0,SRB,Serbia,0.0016348659402882124,Serbia,-0.0048248208505853145,Serbia
138,138,138,138,141,17.0,SLE,Sierra Leone,0.00023490315426573765,Sierra Leone,-0.005667581225866447,Sierra Leone
139,139,139,139,142,0.0,SGP,Singapore,0.0,Singapore,-0.019622935179704905,Singapore
140,140,140,140,144,173.0,SVK,Slovak Republic,0.003189645047817941,Slovak Republic,-0.012417837446392313,Slovak Republic
141,141,141,141,145,103.0,SVN,Slovenia,0.0049914442768245314,Slovenia,-0.01384711365391882,Slovenia
142,142,142,142,146,0.0,SLB,Solomon Islands,0.0,Solomon Islands,-0.005973371674976253,Solomon Islands
143,143,143,143,147,10120.0,SOM,Somalia,0.07276320200941479,Somalia,,Somalia
144,144,144,144,148,1096063.0,ZAF,South Africa,1.9823452998192752,South Africa,1.975794672703276,South Africa
145,145,145,145,149,839.0,SSD,South Sudan,0.007061020005157322,South Sudan,0.0011112507627274006,South Sudan
146,146,146,146,150,11020.0,ESP,Spain,0.02372707473675435,Spain,0.00012492455456193652,Spain
147,147,147,147,151,608.0,LKA,Sri Lanka,0.0028999332252217878,Sri Lanka,-0.0037483787244986617,Sri Lanka
148,148,148,148,152,12581.0,SDN,Sudan,0.0325529500344431,Sudan,0.026381872580997216,Sudan
149,149,149,149,153,4.0,SUR,Suriname,0.0007230553426559269,Suriname,-0.005532011367595796,Suriname
150,150,150,150,154,268.0,SWZ,Eswatini,0.0203182536006144,Eswatini,0.013847549068071606,Eswatini
151,151,151,151,155,157046.0,SWE,Sweden,1.602643321598345,Sweden,1.5676915805481646,Sweden
152,152,152,152,156,32701.0,CHE,Switzerland,0.39482536212950936,Switzerland,0.3631685244302033,Switzerland
153,153,153,153,157,5251.0,SYR,Syrian Arab Republic,0.028027774985912718,Syrian Arab Republic,,Syrian Arab Republic
154,154,154,154,158,288.0,TJK,Tajikistan,0.0033689525984860066,Tajikistan,-0.002647641772268197,Tajikistan
155,155,155,155,159,8271.0,THA,Thailand,0.012046736268089768,Thailand,0.005864330924782231,Thailand
