"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belarus","BLR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17600000","-10500000","-14700000","-104500000","-349500000","-200900000","-443200000","-118600000","-95500000","-453300000","-170300000","-162500000","-304100000","-354100000","-1792100000","-2157300000","-1774200000","-1342800000","-3876900000","-1308100000","-1983900000","-1788600000","-1545700000","-1124000000","-1208500000","",
"Belize","BLZ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","3700000","-3700000","-4600000","-6850000","-14000000","-18650000","-17200000","-13600000","-15600000","-9200000","-15369500","-21050000","-10915000","-8055000","-13150000","-53579000","-23340762.4266667","-61162972.8668778","-25386719.6632396","11282788.1898455","-111431922.355423","-125927475.812063","-108256902.150357","-139387819.298583","-166910700.119583","-108378835.983874","-95328799.7738034","-94715507.9517314","-193325682.261236","-91563206.3019041","-138362416.53291","-58649340.1251989","-31014601.3091005","-25314785.7150862","",
"Bermuda","BMU","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200070000","-512299998.122074","151362971.853528","81724155.0382041","-236611007.849348","-78844721.3646545","192813471.506983","-4328580.31158239","123143745.411753","58627864.425454","168557638.692137","246547669.314198","",
"Bolivia","BOL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","8100000","1200000","-11500000","-35000000","-46500000","-75600000","-31000000","-6900000","-7000000","-10000000","-10000000","-36400000","12000000","25400000","-26100000","-50000000","-91100000","-121800000","-128000000","-390700000","-472000000","-728200000","-946500000","-1007700000","-733550000","-703176000","-673943000","-194620000","-62630000","241620000","-277763457","-363294241.538303","-509335605.237139","-420040000","-650803350.548348","-858666303.673604","-1059965390.78481","-1749612614.39791","-689679405.958478","-556430243.093449","-246499489.903112","-644965288.409389","",
"Brazil","BRA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","-1190000000","-1372000000","-1687000000","-1882000000","-2223000000","-1544000000","-2313000000","-2534000000","-1422000000","-1552000000","-1360000000","-202000000","-1031000000","-2629000000","-608000000","-324000000","-89000000","-1924000000","-801000000","-2035000000","-3475000000","-11667000000","-18608000000","-29192000000","-26886000000","-30497652699.75","-24714939372.251","-14108096193.114","-9894224670.9901","-8694901855.28417","-12549590734.979","9420275576.86435","-27518241273.265","-24601090273.6125","-36032806300","-61689068668.52","-85090700491.46","-81398929601.27","-54744320053.24","-71139904104.73","-61199691118.66","-64978277617.61","-64416672718.03","",
"Barbados","BRB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","-8449999.995775","-14785737.3085853","-17332188.794946","-4797826.39084539","-2240371.49247516","-22141136.0478888","-5950000","-4500000","-9050000","-5100000","-2200000","-7200000","-4150000","-2250000","1450000","-2600000","-5000000","-4650000","-10600000","-5400000","-9800000","-6100000","-13600000","-6800000","-11850000","-8450000","-9750000","-13600000","-14800000","-16050000","-18350000","-17450000","-16931000","-57750000","15985411.5","-229131784.5093","-297796463.545","-369465815.255","-468273111.74","-352359730.925","-329023165.795","-83296577.915","-565137749.06196","62081040.7744225","","","","","",
"Brunei Darussalam","BRN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-60694643.6567848","-229671955.675395","-123820911.146426","-71630911.7273666","-175068516.562807","-70382447.539689","-257635717.488309","-222184549.489168","-325586827.786629","-479520595.760504","-703751750.577839","-859107110.358658","-778412341.07849","-573906641.326341","-171289167.823995","150550827.310313","-467927550.316567","",
"Bhutan","BTN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6122702.14271106","-73855769.764882","-3144001.01949936","-18299707.2343963","-75274009.0283126","-31141614.8601365","-24380673.5733894","-20433631.0650379","-23534931.751976","-6450953.8497443","-11884162.3485119","16553759.9525494","",
"Botswana","BWA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","38268702.2467827","-11155002.801579","-11995824.0422393","-40813517.2929934","-127851715.071269","-109234777.714606","-88558151.4992439","-21074900.8946108","-25070063.248784","-62385754.5025523","-52140091.4622535","-70404390.657485","-113583514.209604","-39921524.1272293","-42186013.0205889","-88526215.8805211","16719788.5457906","11423289.7652538","296441505.112306","23615780.9289904","-29507179.5994045","-72235497.4986437","-96006497.271347","-91820638.5415582","-35161354.3414136","-54918578.9650885","348969544.187112","-365114575.770862","-211973181.685952","-429642350.260976","-363607262.621733","-437104045.335253","-462991174.911624","-612317171.619427","-200878697.737137","-217484021.776249","-1380796400.6967","-533915718.779559","-313823702.536625","-403817288.645555","-494257591.315205","183306932.926075","-68040100.7446668","",
"Central African Republic","CAF","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","2934715.56430295","-7422807.44786943","-22428371.2009828","-5343631.08528873","-5781443.35245489","-8809935.83117202","-4025548.99933632","-4897510.82327746","-2388356.23912489","-6895637.57212772","-9326652.23027192","8591624.31839767","2526580.0334783","3092577.65694271","8376257.10755412","16532435.0342213","15298631.6470525","3602275.00892801","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-640609910.053798","-639515630.409721","-645715035.273501","-466342461.137418","-318264798.787748","-1011074537.23472","-1208005415.91759","-1211666120.87004","-1012518929.13176","-1199992536.18947","-896584647.560242","-1815340786.16786","-2032024161.22017","-2018670386.12548","-2366512320.20303","-2136729517.59437","-1448140714.8071","-1740941863.09099","-1462943973.21465","-1479181195.48128","-1719850021.44067","4881835430.80753","2281059692.16088","629016328.857355","-1090890148.68475","2507756769.58842","655467598.875519","-994079109.306783","149479871.125339","-756376026.754786","-2351330436.08701","2962333851.62057","-1229998902.97669","962510286.991233","1079707016.64525","2170911715.02348","3471892860.0204","11546047762.7899","11369969129.0478","-7526524674.40704","-21657491625.7715","8441354158.89491","4765417552.47552","16417110915.8731","43379849775.7118","1725069777.33367","-13941631257.6258","-55286434400.6915","18567341650.2798","16775357301.4653","6623329810.2442","11774674034.1354","12881422390.733","-12566432423.1612","821307274.839138","22593720828.2548","36187340557.8539","53673702585.576","",
"Central Europe and the Baltics","CEB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","-150537719.84803","362176463.572151","3305489138.72921","-662065131.853622","-1046813789.86604","8289482676.14296","6698840105.75057","-14829123.1501089","2616612137.44849","4625953058.49851","6441318790.39443","7066061998.58521","7130841325.67232","11779030913.9894","10425666422.6347","9118277452.69987","20829388976.398","24225049060.557","8983502887.71107","1799191574.95726","-1796820863.37786","24211612621.7696","51368902312.4653","31562716792.0808","18590543853.6328","27293189256.4299","-2954454436.52639","56434469499.3967","22567340471.3326","14355288726.9079","37473010545.2364","-9446811584.27141","12133813521.4526","24100340203.0021","-55667287118.6768","",
"Channel Islands","CHI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","-50000000","1000000","-16000000","-177000000","-233000000","-213000000","-383000000","-401000000","-135000000","-67000000","-142600000","-313000000","-885000000","-952300000","-1276700000","-653700000","-697400000","-538300000","-600100000","-1671400000","-2205000000","-3681163776.53","-3808707176.91221","-3144336714.41022","-6203092230.47737","-873370518.197886","-2590031012.62755","-2206769652.97625","-2317376775.8889","-4652657204.61328","-5327059944.69972","-5374273035.9017","-8623204102.19681","-9321755961.35028","-6622247091.58977","-6558972711.96496","-3897650613.04479","-9736437583.56545","-10936525935.8511","-10935963739.7807","-5025946513.73251","-4909225401.61142","-1594509488.0274","",
