,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,country
130,130,130,133,432.0,ROU,Romania,0.0021801136192454787,Romania,Romania
131,131,131,134,2088.0,RUS,Russian Federation,0.0014490252286534745,Russian Federation,Russian Federation
132,132,132,135,414.0,RWA,Rwanda,0.0035598960682323728,Rwanda,Rwanda
133,133,133,136,1.0,LCA,St. Lucia,0.0005643149780481474,St. Lucia,St. Lucia
134,134,134,137,3.0,WSM,Samoa,0.0015483151750370304,Samoa,Samoa
135,135,135,138,32.0,SAU,Saudi Arabia,0.0001014033462597249,Saudi Arabia,Saudi Arabia
136,136,136,139,3119.0,SEN,Senegal,0.020825273749859284,Senegal,Senegal
137,137,137,140,116.0,SRB,Serbia,0.0016348659402882124,Serbia,Serbia
138,138,138,141,17.0,SLE,Sierra Leone,0.00023490315426573765,Sierra Leone,Sierra Leone
139,139,139,142,0.0,SGP,Singapore,0.0,Singapore,Singapore
140,140,140,144,173.0,SVK,Slovak Republic,0.003189645047817941,Slovak Republic,Slovak Republic
141,141,141,145,103.0,SVN,Slovenia,0.0049914442768245314,Slovenia,Slovenia
142,142,142,146,0.0,SLB,Solomon Islands,0.0,Solomon Islands,Solomon Islands
143,143,143,147,10120.0,SOM,Somalia,0.07276320200941479,Somalia,Somalia
144,144,144,148,1096063.0,ZAF,South Africa,1.9823452998192752,South Africa,South Africa
145,145,145,149,839.0,SSD,South Sudan,0.007061020005157322,South Sudan,South Sudan
146,146,146,150,11020.0,ESP,Spain,0.02372707473675435,Spain,Spain
147,147,147,151,608.0,LKA,Sri Lanka,0.0028999332252217878,Sri Lanka,Sri Lanka
148,148,148,152,12581.0,SDN,Sudan,0.0325529500344431,Sudan,Sudan
149,149,149,153,4.0,SUR,Suriname,0.0007230553426559269,Suriname,Suriname
150,150,150,154,268.0,SWZ,Eswatini,0.0203182536006144,Eswatini,Eswatini
151,151,151,155,157046.0,SWE,Sweden,1.602643321598345,Sweden,Sweden
152,152,152,156,32701.0,CHE,Switzerland,0.39482536212950936,Switzerland,Switzerland
153,153,153,157,5251.0,SYR,Syrian Arab Republic,0.028027774985912718,Syrian Arab Republic,Syrian Arab Republic
154,154,154,158,288.0,TJK,Tajikistan,0.0033689525984860066,Tajikistan,Tajikistan
155,155,155,159,8271.0,THA,Thailand,0.012046736268089768,Thailand,Thailand
156,156,156,160,17.0,MKD,"Macedonia, FYR",0.0008175796947830719,"Macedonia, FYR","Macedonia, FYR"
