,Unnamed: 0,refugees,country_code,country_x,refugees_pct_pop,country_y
132,132,144737.0,RWA,Rwanda,1.2445620222892488,Rwanda
133,133,1.0,LCA,St. Lucia,0.0005643149780481474,St. Lucia
134,134,0.0,WSM,Samoa,0.0,Samoa
135,135,125.0,SAU,Saudi Arabia,0.0003961068213270504,Saudi Arabia
136,136,14392.0,SEN,Senegal,0.09609404931323334,Senegal
137,137,35332.0,SRB,Serbia,0.4979576155367512,Serbia
138,138,760.0,SLE,Sierra Leone,0.010501552778938859,Sierra Leone
139,139,0.0,SGP,Singapore,0.0,Singapore
140,140,820.0,SVK,Slovak Republic,0.01511854878156481,Slovak Republic
141,141,292.0,SVN,Slovenia,0.014150502221677309,Slovenia
142,142,3.0,SLB,Solomon Islands,0.0005106539434399692,Solomon Islands
143,143,8081.0,SOM,Somalia,0.05810271101166808,Somalia
144,144,121645.0,ZAF,South Africa,0.22000778604561572,South Africa
145,145,263016.0,SSD,South Sudan,2.2135414036668157,South Sudan
146,146,6457.0,ESP,Spain,0.013902515569439458,Spain
147,147,784.0,LKA,Sri Lanka,0.0037393875798912533,Sri Lanka
148,148,309639.0,SDN,Sudan,0.8011813763385205,Sudan
149,149,1.0,SUR,Suriname,0.0001807638356639817,Suriname
150,150,696.0,SWZ,Eswatini,0.052766807858312025,Eswatini
151,151,169520.0,SWE,Sweden,1.7299396092695862,Sweden
152,152,73336.0,CHE,Switzerland,0.8854442603323965,Switzerland
153,153,21113.0,SYR,Syrian Arab Republic,0.11269289911970586,Syrian Arab Republic
154,154,1969.0,TJK,Tajikistan,0.023032873841732457,Tajikistan
155,155,108261.0,THA,Thailand,0.15768247069515975,Thailand
156,156,701.0,MKD,"Macedonia, FYR",0.033713139178996085,"Macedonia, FYR"
157,157,0.0,TLS,Timor-Leste,0.0,Timor-Leste
158,158,21953.0,TGO,Togo,0.2959901046300009,Togo
159,159,113.0,TTO,Trinidad and Tobago,0.008308261499957356,Trinidad and Tobago
160,160,665.0,TUN,Tunisia,0.005898704954850071,Tunisia
161,161,2541352.0,TUR,Turkey,3.246843243218933,Turkey
162,162,26.0,TKM,Turkmenistan,0.0004671819084165336,Turkmenistan
163,163,4.0,TCA,Turks and Caicos Islands,0.011648562858557324,Turks and Caicos Islands
164,164,477187.0,UGA,Uganda,1.1886624617292318,Uganda
165,165,3273.0,UKR,Ukraine,0.00724852260691953,Ukraine
166,166,663.0,ARE,United Arab Emirates,0.007242496478704765,United Arab Emirates
167,167,123067.0,GBR,United Kingdom,0.18895923882347646,United Kingdom
168,168,211845.0,TZA,Tanzania,0.3931796010898821,Tanzania
169,169,273202.0,USA,United States,0.08509909575428114,United States
170,170,301.0,URY,Uruguay,0.008771541273452945,Uruguay
171,171,107.0,UZB,Uzbekistan,0.0003418650495704322,Uzbekistan
172,172,0.0,VUT,Vanuatu,0.0,Vanuatu
173,173,173754.0,VEN,"Venezuela, RB",0.5577058342936352,"Venezuela, RB"
174,174,0.0,VNM,Vietnam,0.0,Vietnam
175,175,267173.0,YEM,"Yemen, Rep.",0.9926101400542804,"Yemen, Rep."
176,176,26447.0,ZMB,Zambia,0.16426109184714818,Zambia
177,177,6950.0,ZWE,Zimbabwe,0.04405020811029614,Zimbabwe
