Country Rank,Country/Territory,country_code,Region,ti_cpi,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
69,Bulgaria,BGR,Err:507,41,9,2.43,32,53,37,45,,38,53,,32,49,32,41,38,42,,47
69,Jamaica,JAM,Err:507,41,6,1.68,36,48,38,44,,42,36,,,,48,41,38,42,,
71,Serbia,SCG,Err:507,40,7,3.90,27,58,34,46,,37,58,,,,27,31,38,42,,47
72,El Salvador,SLV,Err:507,39,6,2.26,29,45,35,43,,37,45,,,,29,41,38,42,,
72,Mongolia,MNG,Err:507,39,8,1.76,31,47,36,42,47,42,36,,37,,35,31,38,42,,
72,Panama,PAN,Err:507,39,6,3.01,31,52,34,44,,41,36,,,,34,31,38,52,,
72,Trinidad and Tobago,TTO,Err:507,39,4,4.64,31,52,31,47,,34,,,,,,31,38,52,,
76,Bosnia and Herzegovina,BIH,Err:507,38,6,1.71,32,42,35,41,,32,40,,,,34,,38,42,,42
76,Brazil,BRA,Err:507,38,7,5.29,25,62,29,47,,25,62,,25,,34,31,38,52,,
76,Burkina Faso,BFA,Err:507,38,7,2.97,28,47,33,43,47,29,32,45,,,28,41,,42,,
76,India,IND,Err:507,38,8,3.14,25,54,33,43,,54,45,,35,,25,41,38,32,33,
76,Thailand,THA,Err:507,38,8,2.12,26,43,35,41,,43,40,,38,,26,31,38,42,42,
76,Tunisia,TUN,Err:507,38,6,2.17,28,42,34,42,,42,28,,,,38,41,38,42,,
76,Zambia,ZMB,Err:507,38,8,2.55,28,50,34,42,35,46,28,50,,,36,41,38,32,,
83,Benin,BEN,Err:507,37,5,4.43,25,47,30,44,47,25,32,47,,,,,,32,,
83,China,CHN,Err:507,37,8,2.34,28,49,33,41,,49,36,,39,,28,31,38,32,41,
83,Colombia,COL,Err:507,37,7,1.94,31,45,34,40,,36,45,,31,,33,41,38,32,,
83,Liberia,LBR,Err:507,37,7,4.22,14,45,30,44,35,44,45,45,,,14,41,,32,,
83,Sri Lanka,LKA,Err:507,37,7,2.09,28,44,34,40,35,44,28,,,,34,41,38,42,,
88,Albania,ALB,Err:507,36,7,3.58,18,49,30,42,,49,36,,,,18,41,38,32,,37
88,Algeria,DZA,Err:507,36,5,1.85,31,42,33,39,,34,36,,,,,31,38,42,,
88,Egypt,EGY,Err:507,36,6,2.47,31,47,32,40,,47,32,,,,35,31,38,32,,
